City,State,Year,Zipcode,AvrgCommute,AvrgIncome
Appleton,Wisconsin,2015,4750,21.26406511194541,38809.708650234745
Appleton,Wisconsin,2016,4750,21.760992926875186,42707.62556027365
Appleton,Wisconsin,2017,4750,22.249324073583207,46744.632691162326
Arden-Arcade CDP,California,2013,5106,28.864904051172708,48808.6708509792
Arden-Arcade CDP,California,2014,5106,28.034228947910233,48169.74449973531
Arden-Arcade CDP,California,2015,5106,28.439669264848728,49652.13938573079
Arden-Arcade CDP,California,2016,5106,31.294771860809597,52427.657484552525
Arden-Arcade CDP,California,2017,5106,29.505194419709113,51143.14590525606
Arlington,Texas,2013,8000,32.680436967053446,42622.57685949218
Arlington,Texas,2014,8000,32.27531254293172,42891.0362373848
Arlington,Texas,2015,8000,33.88794707350173,43685.358736835115
Arlington,Texas,2016,8000,32.736311091165675,43090.40613932904
Arlington,Texas,2017,8000,33.38932209343168,44987.6020376056
Arlington CDP,Virginia,2013,6000,33.088252638582276,90115.79644317307
Arlington CDP,Virginia,2014,6000,34.93991662206274,91317.87210301268
Arlington CDP,Virginia,2015,6000,35.074217692549695,91354.58877066591
Arlington CDP,Virginia,2016,6000,35.16002031635467,94314.95665741802
Arlington CDP,Virginia,2017,6000,35.33340050522861,95710.31989032154
Arlington Heights village,Illinois,2013,4308,37.13377900117971,64144.11086544536
Arlington Heights village,Illinois,2014,4308,34.943208628244015,69614.39826844912
Arlington Heights village,Illinois,2015,4308,35.26485971125034,73078.1323406138
Arlington Heights village,Illinois,2016,4308,37.972211569662825,72920.1612335457
Arlington Heights village,Illinois,2017,4308,38.39059941481223,81533.85816797416
Arvada,Colorado,2013,6910,33.09985472494005,52851.253119768684
Arvada,Colorado,2014,6910,33.25027910281133,51563.97624336846
Arvada,Colorado,2015,6910,33.17344625596199,58507.90795440894
Arvada,Colorado,2016,6910,34.208139956177426,57379.961447084235
Arvada,Colorado,2017,6910,33.00130907626208,60229.61084828827
Asheville,North Carolina,2013,4280,21.032958550955822,41437.00012393877
Asheville,North Carolina,2014,4280,21.964001401892556,41546.23738483559
Asheville,North Carolina,2015,4280,20.54829442580209,38124.50124466915
Asheville,North Carolina,2016,4280,22.543982387475538,37619.003092121115
Asheville,North Carolina,2017,4280,21.74423090494225,45017.31593543275
Atascocita CDP,Texas,2013,8924,36.50259518584318,57836.4070035802
Atascocita CDP,Texas,2014,8924,43.13308319165152,62828.853554395864
Atascocita CDP,Texas,2015,8924,41.593716948232,61818.56922900589
Atascocita CDP,Texas,2016,8924,43.04278539095926,67377.34775125346
Atascocita CDP,Texas,2017,8924,43.60710062426092,64929.65849489613
Athens-Clarke County unified government (balance),Georgia,2013,6880,26.155687163821053,28147.491087608807
Athens-Clarke County unified government (balance),Georgia,2014,6880,25.35571387743437,27091.320111007448
Athens-Clarke County unified government (balance),Georgia,2015,6880,22.26461926019227,27517.884179944034
Athens-Clarke County unified government (balance),Georgia,2016,6880,25.258043734354292,30798.185753959526
Athens-Clarke County unified government (balance),Georgia,2017,6880,22.883444434298237,34075.13901890252
Atlanta,Georgia,2013,8000,30.069787739693254,55401.87549243775
Atlanta,Georgia,2014,8000,32.08686720910658,57416.7467940106
Atlanta,Georgia,2015,8000,31.735435803416085,58037.53595910865
Atlanta,Georgia,2016,8000,31.976321351127087,60300.83368366133
Atlanta,Georgia,2017,8000,34.14124814725449,63463.475827472146
Auburn,Washington,2013,6360,36.9336610077496,53607.956298098536
Auburn,Washington,2014,6360,37.19859924026591,44437.883588999975
Auburn,Washington,2015,6360,38.37870443965028,56159.175520077406
Auburn,Washington,2016,6360,40.87531626949103,52541.4298802924
Auburn,Washington,2017,6360,40.47746482676676,52824.757186523726
Augusta-Richmond County consolidated government (balance),Georgia,2013,8408,23.05653209266473,32193.510165666856
Augusta-Richmond County consolidated government (balance),Georgia,2014,8408,24.169698956455225,32329.66758489432
Augusta-Richmond County consolidated government (balance),Georgia,2015,8408,25.968684243099393,33704.728947567935
Augusta-Richmond County consolidated government (balance),Georgia,2016,8408,24.073052888467085,34576.53104109502
Augusta-Richmond County consolidated government (balance),Georgia,2017,8408,24.640120853528042,33629.733065225584
Aurora,Colorado,2013,8000,34.60711093077367,37950.08005326388
Aurora,Colorado,2014,8000,35.54389411520313,41807.68789432979
Aurora,Colorado,2015,8000,34.995850478122286,43589.84994501749
Aurora,Colorado,2016,8000,33.716378909119456,42379.8796510898
Aurora,Colorado,2017,8000,36.0808907341839,46330.1643109457
Aurora,Illinois,2013,6024,35.77777653855591,47438.98463293957
Aurora,Illinois,2014,6024,37.144549474174134,47407.60284121108
Aurora,Illinois,2015,6024,35.276639536949006,47635.123167591126
Aurora,Illinois,2016,6024,34.63778073931661,49005.18762313183
Aurora,Illinois,2017,6024,34.0185570009559,52413.52210872109
Austin,Texas,2013,10000,28.59411087122655,49066.57823649667
Austin,Texas,2014,10000,28.69539744411027,51872.12062886565
Austin,Texas,2015,10000,29.180736869632355,55050.376744259054
Austin,Texas,2016,10000,29.836239439513644,57852.837485753844
Austin,Texas,2017,10000,29.897145512507027,59680.71439937563
Avondale,Arizona,2013,9440,35.4564425402932,36171.03547063414
Avondale,Arizona,2014,9440,32.13047616300868,38471.91947395043
Avondale,Arizona,2015,9440,31.99422737871808,38737.59723434852
Avondale,Arizona,2016,9440,35.4875170718383,38613.29443596834
Avondale,Arizona,2017,9440,36.14820816117098,39677.78384259043
Bakersfield,California,2013,7052,27.714167974031046,44627.6218339329
Bakersfield,California,2014,7052,26.924678878163714,48395.207468005545
Bakersfield,California,2015,7052,27.496546622194728,50200.05723599317
Bakersfield,California,2016,7052,26.56219406947711,47719.05177084803
Bakersfield,California,2017,7052,29.134390894830126,47465.19785566504
Baldwin Park,California,2013,7332,38.135806940146175,30541.252163447763
Baldwin Park,California,2014,7332,33.92330674125163,32722.79578793254
Baldwin Park,California,2015,7332,36.73558263042799,34645.34933703714
Baldwin Park,California,2016,7332,40.09246358454718,31324.91003136382
Baldwin Park,California,2017,7332,40.0192501429466,36536.12162229102
Baltimore,Maryland,2013,8000,37.235880044608365,44397.49026065226
Baltimore,Maryland,2014,8000,36.35761479310758,44951.16130427403
Baltimore,Maryland,2015,8000,38.37142655632876,47971.581155915046
Baltimore,Maryland,2016,8000,37.05106092590579,48899.43187263934
Baltimore,Maryland,2017,8000,38.412372726211146,49963.21809016488
Baton Rouge,Louisiana,2013,10000,27.713148991270206,38272.11186023924
Baton Rouge,Louisiana,2014,10000,26.52837052567085,38137.87735431341
Baton Rouge,Louisiana,2015,10000,24.633859609268516,41167.051070509355
Baton Rouge,Louisiana,2016,10000,27.421670724471632,40234.94473611614
Baton Rouge,Louisiana,2017,10000,25.95049426020408,40894.55837647458
Bayam?n zona urbana,Puerto Rico,2017,13186,43.24916221690297,25855.88841720854
Bayamon zona urbana,Puerto Rico,2016,13186,41.07921185110337,25039.753949623955
Bayamón zona urbana,Puerto Rico,2013,13186,44.51519777461157,24284.319385079038
Bayamón zona urbana,Puerto Rico,2014,13186,43.147131231621415,26530.895103514824
Bayamón zona urbana,Puerto Rico,2015,13186,42.24958017752493,25044.716381000475
Bayonne,New Jersey,2013,7160,44.010672171874454,52628.66358950328
Bayonne,New Jersey,2014,7160,41.454432337906916,52482.90601984296
Bayonne,New Jersey,2015,7160,41.567996122420716,52375.77979840278
Bayonne,New Jersey,2016,7160,46.66078086528315,59066.03905978312
Bayonne,New Jersey,2017,7160,45.35467311386368,61101.23501883512
Baytown,Texas,2013,12256,28.45719699533058,39682.149316420015
Baytown,Texas,2014,12256,26.348163992869875,49737.24078165801
Baytown,Texas,2015,12256,30.337972993025673,50532.65375544732
Baytown,Texas,2016,12256,31.831882852645023,45213.615568436035
Baytown,Texas,2017,12256,30.561700080192463,45704.14411311887
Beaumont,Texas,2013,14000,21.540129000653167,39171.21656905808
Beaumont,Texas,2014,14000,23.45497874023534,40065.81039506087
Beaumont,Texas,2015,14000,23.05380003561606,46371.52403077885
Beaumont,Texas,2016,14000,21.99569672951443,43720.516557188326
Beaumont,Texas,2017,14000,26.05765557854528,43451.56703181608
Beaverton,Oregon,2013,10700,29.989880638005705,50034.4234417961
Beaverton,Oregon,2014,10700,27.975700974987568,45782.069820754885
Beaverton,Oregon,2015,10700,31.778759925518482,55181.69860010275
Beaverton,Oregon,2016,10700,32.309701492537314,54814.95848418203
Beaverton,Oregon,2017,10700,30.04353559408766,55048.12052697907
Bellevue,Washington,2013,10420,27.45331345261763,79417.99859544872
Bellevue,Washington,2014,10420,28.23312984904072,85278.94417391528
Bellevue,Washington,2015,10420,27.9724324731021,87016.7906048
Bellevue,Washington,2016,10420,29.69749202006384,94729.59344044683
Bellevue,Washington,2017,10420,29.14034505640345,102431.9714441525
Bellflower,California,2013,9964,37.59525982718754,39286.12406082062
Bellflower,California,2014,9964,36.58867546547254,37391.923137751066
Bellflower,California,2015,9964,37.81361567513477,43327.06967931762
Bellflower,California,2016,9964,35.73258434305497,44596.48405726136
Bellflower,California,2017,9964,40.44070824357694,41048.67545740423
Bellingham,Washington,2013,10560,22.506929707354136,32066.480975893115
Bellingham,Washington,2014,10560,20.78632849194306,34127.92463098398
Bellingham,Washington,2015,10560,21.341950972959314,34154.42421102214
Bellingham,Washington,2016,10560,23.908145128800626,35396.674549486066
Bellingham,Washington,2017,10560,21.214261069580218,42116.771726513645
Bend,Oregon,2013,11600,18.215523475372954,40458.48777694531
Bend,Oregon,2014,11600,19.13198222932162,45047.81224937343
Bend,Oregon,2015,11600,19.309719341905158,47748.23849808904
Bend,Oregon,2016,11600,18.82601587489634,45162.83947549507
Bend,Oregon,2017,11600,19.37087338069369,50171.046956402526
Berkeley,California,2013,12000,35.45883655195588,55490.699492450374
Berkeley,California,2014,12000,34.16190893336634,53821.49231699607
Berkeley,California,2015,12000,36.26231012717499,58585.8591316534
Berkeley,California,2016,12000,37.591347195148366,63815.27587210071
Berkeley,California,2017,12000,36.87089168076604,61690.28339909072
Bethesda CDP,Maryland,2013,14250,34.99732932732432,104547.30142167382
Bethesda CDP,Maryland,2014,14250,35.93540548382417,110682.12351664255
Bethesda CDP,Maryland,2017,14250,35.88744991184485,110812.97203164906
Bethlehem,Pennsylvania,2013,12176,27.684602086806198,37357.60812733631
Bethlehem,Pennsylvania,2014,12176,30.131710095400827,39178.34802967084
Bethlehem,Pennsylvania,2015,12176,28.97610681658468,37547.976858831695
Bethlehem,Pennsylvania,2016,12176,28.96066085309113,41564.17437195307
Bethlehem,Pennsylvania,2017,12176,27.719561738274038,43084.01848530144
Billings,Montana,2013,13100,20.526994327422745,41083.75161201478
Billings,Montana,2014,13100,20.562019553698036,42083.04317517062
Billings,Montana,2015,13100,21.209675965162198,43034.17415125412
Billings,Montana,2016,13100,20.095661888621688,44479.54633804881
Billings,Montana,2017,13100,18.994441905110158,46130.17673385177
Birmingham,Alabama,2013,14000,25.45182720453714,31238.00455135906
Birmingham,Alabama,2014,14000,26.83868236290294,30308.578664056764
Birmingham,Alabama,2015,14000,25.19868376755248,32505.046382448174
Birmingham,Alabama,2016,14000,26.068875795630483,35346.392376577576
Birmingham,Alabama,2017,14000,26.642719065087977,35437.178392809794
Bismarck,North Dakota,2013,14400,19.735729678952314,45458.27264880374
Bismarck,North Dakota,2014,14400,18.25106834542691,43035.240864901105
Bismarck,North Dakota,2015,14400,19.527219735609453,50688.872305121986
Bismarck,North Dakota,2016,14400,20.388451148131473,49482.92701938415
Bismarck,North Dakota,2017,14400,19.096600975822497,50381.84360650361
Bloomington,Illinois,2013,13226,20.176642047279106,52110.51618458774
Bloomington,Illinois,2014,13226,20.259423391665617,52233.437835380726
Bloomington,Illinois,2015,13226,18.930227913827107,58256.97907073176
Bloomington,Illinois,2016,13226,20.787063395796718,53849.64212043076
Bloomington,Illinois,2017,13226,19.80146397842558,57743.49479285878
Bloomington,Indiana,2013,11720,18.49650826094362,24739.97654369367
Bloomington,Indiana,2014,11720,22.30527270599251,24392.623027861697
Bloomington,Indiana,2015,11720,21.099469459937424,25778.067739729726
Bloomington,Indiana,2016,11720,20.404613450337415,26405.31687986403
Bloomington,Indiana,2017,11720,20.941840323342607,29716.24998151161
Bloomington,Minnesota,2013,13232,26.46679063017302,54603.04580059439
Bloomington,Minnesota,2014,13232,26.328677942243825,51861.40249448208
Bloomington,Minnesota,2015,13232,25.77925738509,49460.71786105549
Bloomington,Minnesota,2016,13232,27.19610440926946,57965.11860108395
Bloomington,Minnesota,2017,13232,25.9101535797293,58662.18638728842
Boca Raton,Florida,2013,14600,25.74313355115377,59340.74755832606
Boca Raton,Florida,2014,14600,26.78502102879327,60980.92764408151
Boca Raton,Florida,2015,14600,25.955010610705024,63779.952885461316
Boca Raton,Florida,2016,14600,25.036234532449225,68817.14502914442
Boca Raton,Florida,2017,14600,27.466354700407823,73883.9662037319
Boise City,Idaho,2013,17660,22.324566251505043,41631.38854196388
Boise City,Idaho,2014,17660,22.367173593375124,46747.61776452835
Boise City,Idaho,2015,17660,21.63065560368724,42865.01119041905
Boise City,Idaho,2016,17660,22.287455854698894,48249.18666887773
Boise City,Idaho,2017,17660,22.96018340404227,47766.19663419288
Bolingbrook village,Illinois,2013,14266,37.83038331130395,47931.22429363155
Bolingbrook village,Illinois,2014,14266,39.40883789617176,48218.33469084575
Bolingbrook village,Illinois,2015,14266,36.53633198718841,47281.37293794187
Bolingbrook village,Illinois,2016,14266,38.99708139660577,53225.969987682394
Bolingbrook village,Illinois,2017,14266,42.33006457785219,59755.6260991492
Bossier City,Louisiana,2013,17840,20.882693700217235,42455.07168786623
Bossier City,Louisiana,2014,17840,21.78698224852071,43902.729773364204
Bossier City,Louisiana,2015,17840,21.685694396101635,40941.03997522662
Bossier City,Louisiana,2016,17840,22.71391923990499,37646.34671501706
Bossier City,Louisiana,2017,17840,21.427679170048343,45350.0020160665
Boston,Massachusetts,2013,14000,36.528202517529984,50685.472100921885
Boston,Massachusetts,2014,14000,38.108071018097604,54145.32047200324
Boston,Massachusetts,2015,14000,39.14245405170043,54687.04308470719
Boston,Massachusetts,2016,14000,37.1151587005281,57738.70003502038
Boston,Massachusetts,2017,14000,38.18780686148526,59153.49616522305
Boulder,Colorado,2013,15700,23.36193423597679,47947.09459858116
Boulder,Colorado,2014,15700,22.728160815356418,46214.10484985551
Boulder,Colorado,2015,15700,23.7656050955414,48793.31886596246
Boulder,Colorado,2016,15700,23.359034749805392,49994.19720420057
Boulder,Colorado,2017,15700,24.641578436919097,52084.24718218646
Bowling Green,Kentucky,2016,17804,23.841013351591922,28275.53126556071
Bowling Green,Kentucky,2017,17804,22.20582274408879,32124.802303238368
Boynton Beach,Florida,2013,15750,28.78517128108869,41801.19119075893
Boynton Beach,Florida,2014,15750,28.185005361610866,45158.763625157364
Boynton Beach,Florida,2015,15750,32.18288155775023,39478.75204024595
Boynton Beach,Florida,2016,15750,31.588556158571862,41530.34370111003
Boynton Beach,Florida,2017,15750,31.400512455516015,44041.79597002835
Brandon CDP,Florida,2013,16300,31.425425902179885,41833.62553445125
Brandon CDP,Florida,2014,16300,30.833380440927076,41291.47540885555
Brandon CDP,Florida,2015,16300,32.10777555264577,43974.52234005286
Brandon CDP,Florida,2016,16300,32.68929212739817,45975.2478718528
Brandon CDP,Florida,2017,16300,33.701303211420004,44266.11155248154
Brentwood CDP,New York,2014,16052,31.12621173469388,37538.50535947712
Brentwood CDP,New York,2015,16052,32.00781863283826,39117.8542536725
Brentwood CDP,New York,2016,16052,29.945891845282087,35915.15571879198
Brentwood CDP,New York,2017,16052,36.364934729223215,43578.12837878424
Bridgeport,Connecticut,2013,16000,34.802809896804675,34791.67657081721
Bridgeport,Connecticut,2014,16000,33.99190716861115,35856.95071480369
Bridgeport,Connecticut,2015,16000,34.544944695435426,36462.442741337356
Bridgeport,Connecticut,2016,16000,34.7797000972488,36571.09081719378
Bridgeport,Connecticut,2017,16000,36.795794994190246,38310.354330657356
Brockton,Massachusetts,2013,18000,36.902846235623855,38605.01150463411
Brockton,Massachusetts,2014,18000,39.10356170867353,36090.382682032476
Brockton,Massachusetts,2015,18000,38.00663686539251,35758.17831566036
Brockton,Massachusetts,2016,18000,37.46816801848747,40809.998171221865
Brockton,Massachusetts,2017,18000,39.55900040090873,41575.555987180735
Broken Arrow,Oklahoma,2013,18100,24.408050047214353,49065.963407203664
Broken Arrow,Oklahoma,2014,18100,24.696719907098934,49902.156258860814
Broken Arrow,Oklahoma,2015,18100,24.698676128343063,49452.61045378151
Broken Arrow,Oklahoma,2016,18100,25.25874335355351,49512.93986065865
Broken Arrow,Oklahoma,2017,18100,24.669410328499556,52639.80073934117
Brooklyn Park,Minnesota,2013,15932,30.568148600887564,43494.583431433646
Brooklyn Park,Minnesota,2014,15932,31.503642255346726,43472.083747445664
Brooklyn Park,Minnesota,2015,15932,30.700818617103433,46883.63657888271
Brooklyn Park,Minnesota,2016,15932,30.415776737334948,48410.45499242689
Brooklyn Park,Minnesota,2017,15932,31.030332399088458,53598.393784536594
Broomfield,Colorado,2015,18560,38.183653582630406,64754.49487818383
Broomfield,Colorado,2016,18560,30.879826329663512,72055.34199881482
Broomfield,Colorado,2017,18560,32.21995787725075,68579.7196702849
Brownsville,Texas,2013,21536,24.649465270034707,32084.030405828133
Brownsville,Texas,2014,21536,24.45898892095708,30738.58346430175
Brownsville,Texas,2015,21536,23.351877122755944,30948.459873151227
Brownsville,Texas,2016,21536,24.46195541809207,32745.94596923077
Brownsville,Texas,2017,21536,24.60283861319222,31218.213896157733
Bryan,Texas,2013,21824,20.94322962962963,32211.64603901369
Bryan,Texas,2014,21824,19.76943260085274,35194.306761661515
Bryan,Texas,2015,21824,21.95160536159601,36205.79531736656
Bryan,Texas,2016,21824,21.330495703899537,35787.476655503946
Bryan,Texas,2017,21824,19.98138462403689,33465.568830340046
Buckeye,Arizona,2017,15880,40.515333226014164,42087.221383370124
Buena Park,California,2013,17572,36.7679779373504,51363.02099933599
Buena Park,California,2014,17572,36.392762531827884,43105.984792584226
Buena Park,California,2015,17572,38.516829722804566,47327.22862722223
Buena Park,California,2016,17572,37.85865553920741,42432.5294308521
Buena Park,California,2017,17572,38.30959215868829,43929.757821707324
Buffalo,New York,2013,22000,23.26985782456831,34074.57583556906
Buffalo,New York,2014,22000,25.777619441930327,33881.38113166781
Buffalo,New York,2015,22000,27.403791870530675,35249.99326303223
Buffalo,New York,2016,22000,25.805545084813016,38672.19954491251
Buffalo,New York,2017,22000,26.023328985405062,36504.47553448762
Burbank,California,2013,17908,32.06955304469553,58472.100384856654
Burbank,California,2014,17908,31.741487642869966,60130.2545957881
Burbank,California,2015,17908,34.45564636912149,65675.30853249512
Burbank,California,2016,17908,37.74130190796858,69187.70001778094
Burbank,California,2017,17908,36.92336871216085,65266.72307856288
Caguas zona urbana,Puerto Rico,2013,20668,37.18291836892006,23879.932298315038
Caguas zona urbana,Puerto Rico,2014,20668,31.821080026024724,21437.683285368566
Caguas zona urbana,Puerto Rico,2015,20668,39.63969155507649,22296.6508220027
Caguas zona urbana,Puerto Rico,2016,20668,35.73180634626418,23644.97799909971
Caguas zona urbana,Puerto Rico,2017,20668,37.098591549295776,24801.79562939625
Camarillo,California,2013,20092,27.068938781014023,68516.17538924878
Camarillo,California,2014,20092,27.834139551070123,67693.05099985404
Camarillo,California,2015,20092,28.798277587192683,64013.336826528146
Camarillo,California,2016,20092,29.46091004377582,59413.01584878128
Camarillo,California,2017,20092,32.218133473393955,74960.39447073138
Cambridge,Massachusetts,2013,22000,28.782618804886337,57253.75812741182
Cambridge,Massachusetts,2014,22000,30.54951757408684,64362.11467362642
Cambridge,Massachusetts,2015,22000,31.897465867952402,66855.29215835554
Cambridge,Massachusetts,2016,22000,32.86062485012504,63913.04445996588
Cambridge,Massachusetts,2017,22000,30.973397044869188,72817.50157959474
Camden,New Jersey,2013,20000,29.332573930134906,28050.509056978495
Camden,New Jersey,2014,20000,26.714127571859372,28852.866631176803
Camden,New Jersey,2015,20000,27.55148,30614.025093975415
Camden,New Jersey,2016,20000,34.58135648487813,32461.748682589652
Camden,New Jersey,2017,20000,35.06751798033172,26907.802064312462
Canton,Ohio,2013,24000,26.230458744081346,26731.6843350981
Canton,Ohio,2014,24000,22.86333379559007,26198.55580848658
Canton,Ohio,2015,24000,24.47502515335432,28623.315750371472
Canton,Ohio,2016,24000,26.862224009358094,25262.395484237433
Canton,Ohio,2017,24000,25.661174302824136,28152.3161940319
Cape Coral,Florida,2013,20550,34.72641596885332,35514.58564299082
Cape Coral,Florida,2014,20550,31.542393369020896,41228.107993985715
Cape Coral,Florida,2015,20550,33.338118067978534,38581.419484613885
Cape Coral,Florida,2016,20550,33.87313080646684,41265.22141403694
Cape Coral,Florida,2017,20550,32.99600830670132,43367.86182045231
Carlsbad,California,2013,22388,33.04208667665005,72271.30675818374
Carlsbad,California,2014,22388,34.36860609957006,79996.0836535188
Carlsbad,California,2015,22388,36.50052490131855,79197.77052604099
Carlsbad,California,2016,22388,33.19248188405797,91767.44505331754
Carlsbad,California,2017,22388,33.829991375592925,90225.85113891828
Carmel,Indiana,2013,20684,29.809407692912767,77980.86119568527
Carmel,Indiana,2014,20684,30.082841884127667,79359.05014403292
Carmel,Indiana,2015,20684,30.78414137252209,86481.13358083497
Carmel,Indiana,2016,20684,26.891218585622443,86185.48574493254
Carmel,Indiana,2017,20684,28.34841112792457,87171.77692469701
Carmichael CDP,California,2013,22780,30.610142267094997,48255.24774344598
Carmichael CDP,California,2014,22780,30.781519407455377,52549.07598125179
Carmichael CDP,California,2015,22780,30.123822233005782,48783.99075483666
Carmichael CDP,California,2016,22780,31.670412963931,52011.3668188013
Carmichael CDP,California,2017,22780,32.57327443034611,54563.92381902861
Carolina zona urbana,Puerto Rico,2013,28580,39.48626246025224,24763.038001337914
Carolina zona urbana,Puerto Rico,2014,28580,39.91842989549869,27273.88209030311
