State,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
North Carolina,Male,67551.0,198252.0,321312.0,364050.0,335511.0,146752.0,288437.0,66084.0,70886.0,156710.0,95131.0,57619.0,2013
North Dakota,Male,18497.0,38083.0,46800.0,36251.0,21906.0,5279.0,12876.0,1859.0,2065.0,5635.0,7906.0,7259.0,2013
Ohio,Male,90507.0,262695.0,354835.0,415757.0,427742.0,197813.0,343107.0,87032.0,96577.0,176017.0,108870.0,52179.0,2013
Oklahoma,Male,37061.0,116369.0,143028.0,151941.0,146671.0,53108.0,114191.0,17474.0,20904.0,44609.0,30674.0,22901.0,2013
Oregon,Male,38050.0,98972.0,128397.0,144419.0,126012.0,51803.0,107755.0,21892.0,27208.0,56267.0,43088.0,18299.0,2013
Pennsylvania,Male,103439.0,280376.0,379172.0,400677.0,412229.0,185612.0,384317.0,95834.0,123321.0,266053.0,202249.0,97729.0,2013
Rhode Island,Male,7072.0,23768.0,35271.0,44351.0,38110.0,17599.0,31659.0,7553.0,9082.0,19090.0,14354.0,7000.0,2013
South Carolina,Male,37773.0,97737.0,144021.0,167078.0,160171.0,68441.0,157001.0,32871.0,30841.0,66427.0,43412.0,26368.0,2013
South Dakota,Male,18822.0,42519.0,42032.0,37823.0,28391.0,7203.0,13717.0,2597.0,3141.0,4975.0,5676.0,3715.0,2013
Tennessee,Male,39594.0,126891.0,194614.0,228560.0,229455.0,98659.0,218142.0,43266.0,47182.0,117877.0,68711.0,31981.0,2013
Texas,Male,174162.0,555986.0,822099.0,961834.0,884741.0,377452.0,991198.0,166329.0,233528.0,547523.0,413452.0,172857.0,2013
Utah,Male,24871.0,85744.0,104342.0,124021.0,118554.0,45375.0,89677.0,14628.0,18992.0,41325.0,24217.0,13230.0,2013
Vermont,Male,7623.0,18909.0,22402.0,26442.0,17351.0,8667.0,16894.0,5073.0,4792.0,11705.0,5893.0,3312.0,2013
Virginia,Male,42839.0,150177.0,240209.0,290700.0,286945.0,138301.0,292387.0,64987.0,88148.0,198864.0,162302.0,74678.0,2013
Washington,Male,50442.0,136589.0,209992.0,254583.0,240803.0,102264.0,225464.0,52844.0,71328.0,142165.0,105276.0,52670.0,2013
West Virginia,Male,14560.0,36570.0,50272.0,55627.0,58832.0,19994.0,45044.0,10339.0,12969.0,33187.0,30170.0,19193.0,2013
Wisconsin,Male,66811.0,181314.0,219426.0,226401.0,200574.0,94509.0,156418.0,41050.0,46359.0,85925.0,52846.0,29029.0,2013
Wyoming,Male,13748.0,31639.0,34832.0,24729.0,13429.0,3575.0,10186.0,1914.0,2813.0,5406.0,5626.0,6337.0,2013
Puerto Rico,Male,11168.0,34953.0,58619.0,75949.0,71975.0,22908.0,88764.0,12865.0,26145.0,46323.0,55553.0,24231.0,2013
Alabama,Female,25395.0,97452.0,144492.0,163422.0,144305.0,59863.0,130688.0,25459.0,24338.0,58527.0,26370.0,12439.0,2013
Alaska,Female,12022.0,23246.0,33241.0,30824.0,21798.0,7852.0,8871.0,1451.0,1929.0,4986.0,3627.0,1438.0,2013
Arizona,Female,36264.0,131387.0,181527.0,191053.0,185960.0,85185.0,160863.0,28792.0,50635.0,89681.0,43080.0,15111.0,2013
Arkansas,Female,22799.0,82002.0,96429.0,105067.0,77964.0,31842.0,69755.0,13047.0,12039.0,27272.0,14831.0,4534.0,2013
California,Female,147211.0,669343.0,1013261.0,1157365.0,1079875.0,424718.0,1012104.0,172834.0,276289.0,544085.0,454624.0,190157.0,2013
Colorado,Female,34473.0,126726.0,162207.0,184556.0,173073.0,71810.0,143590.0,29422.0,37615.0,71990.0,39249.0,15512.0,2013
Connecticut,Female,21284.0,87742.0,127156.0,136577.0,135206.0,48621.0,97000.0,20479.0,26602.0,46480.0,32090.0,18375.0,2013
Delaware,Female,4894.0,18003.0,29692.0,35685.0,35021.0,14139.0,26360.0,5225.0,6560.0,11984.0,7811.0,3562.0,2013
District of Columbia,Female,1776.0,6869.0,11405.0,18661.0,25031.0,10975.0,34668.0,9035.0,9957.0,17513.0,11173.0,3311.0,2013
Florida,Female,79289.0,315474.0,501247.0,614247.0,647823.0,257037.0,604417.0,115785.0,146209.0,289089.0,160897.0,57234.0,2013
Georgia,Female,43681.0,175820.0,268898.0,320717.0,310695.0,111883.0,258672.0,55551.0,70972.0,171918.0,107056.0,41506.0,2013
Hawaii,Female,6485.0,25797.0,37791.0,42190.0,40755.0,13908.0,52045.0,6629.0,9921.0,29162.0,17799.0,8670.0,2013
Idaho,Female,16644.0,51780.0,57988.0,55232.0,39326.0,16493.0,25431.0,5833.0,4919.0,10891.0,5382.0,2229.0,2013
Illinois,Female,77696.0,289656.0,372693.0,379643.0,371513.0,160961.0,361791.0,84549.0,122881.0,247210.0,192726.0,61257.0,2013
Indiana,Female,49379.0,179784.0,223357.0,236353.0,209211.0,93995.0,157915.0,39015.0,41622.0,72378.0,39303.0,15715.0,2013
Iowa,Female,52195.0,132495.0,131857.0,122547.0,95397.0,43056.0,59185.0,13776.0,13386.0,24184.0,12665.0,6209.0,2013
Kansas,Female,37769.0,112193.0,115444.0,112464.0,83472.0,34339.0,58730.0,12267.0,10702.0,20325.0,10521.0,5579.0,2013
Kentucky,Female,29160.0,115803.0,143642.0,159040.0,135870.0,56552.0,95287.0,22566.0,18583.0,44683.0,21774.0,9820.0,2013
Louisiana,Female,32560.0,103691.0,158115.0,165239.0,140609.0,48604.0,122141.0,20205.0,22420.0,52960.0,30240.0,13369.0,2013
Maine,Female,16527.0,42265.0,50978.0,46049.0,42603.0,20213.0,31704.0,5605.0,8457.0,17567.0,8630.0,3940.0,2013
Maryland,Female,23194.0,95093.0,142742.0,180835.0,186516.0,83687.0,204371.0,46868.0,71363.0,158048.0,137425.0,53436.0,2013
Massachusetts,Female,38475.0,150194.0,215420.0,219667.0,214250.0,100016.0,213945.0,44872.0,67595.0,144004.0,111100.0,37399.0,2013
Michigan,Female,68888.0,244397.0,313925.0,336174.0,305892.0,143771.0,229539.0,61417.0,65231.0,121311.0,58886.0,28729.0,2013
Minnesota,Female,53744.0,172385.0,201419.0,202373.0,187915.0,92604.0,148107.0,34947.0,41684.0,79059.0,39197.0,13166.0,2013
Mississippi,Female,20105.0,77322.0,99988.0,97754.0,83400.0,35689.0,69891.0,14303.0,12676.0,33544.0,15724.0,7059.0,2013
Missouri,Female,53032.0,167392.0,196474.0,217322.0,202997.0,87977.0,163457.0,35336.0,38314.0,73350.0,30774.0,16065.0,2013
Montana,Female,15188.0,45052.0,47286.0,39669.0,26652.0,9297.0,15367.0,1553.0,3292.0,6049.0,3076.0,2007.0,2013
Nebraska,Female,27496.0,78564.0,83770.0,74744.0,69061.0,24078.0,39393.0,5907.0,5882.0,12202.0,6558.0,2409.0,2013
Nevada,Female,15699.0,50895.0,78326.0,103571.0,105072.0,43965.0,85626.0,11492.0,14889.0,20724.0,13293.0,7536.0,2013
New Hampshire,Female,13764.0,38436.0,47431.0,46012.0,39515.0,20873.0,36134.0,9493.0,13403.0,21545.0,13186.0,6280.0,2013
New Jersey,Female,45799.0,174578.0,250514.0,264826.0,255525.0,119283.0,250647.0,52669.0,87679.0,167945.0,149689.0,68078.0,2013
New Mexico,Female,20309.0,53249.0,75372.0,71290.0,51871.0,21322.0,41579.0,7095.0,7897.0,18651.0,10094.0,4541.0,2013
New York,Female,94955.0,338249.0,469640.0,534959.0,531233.0,227277.0,579227.0,125642.0,205552.0,426681.0,447555.0,191995.0,2013
North Carolina,Female,52944.0,212816.0,322909.0,370837.0,327919.0,137992.0,248339.0,54599.0,59428.0,113291.0,57385.0,25047.0,2013
North Dakota,Female,14322.0,35317.0,40758.0,29487.0,20093.0,5338.0,10151.0,1737.0,2193.0,3779.0,1983.0,1206.0,2013
Ohio,Female,84924.0,287564.0,394872.0,421903.0,406721.0,186677.0,297443.0,70577.0,77342.0,128479.0,62219.0,27065.0,2013
Oklahoma,Female,31339.0,119435.0,136560.0,134861.0,116332.0,42913.0,84428.0,14421.0,15074.0,29859.0,15402.0,6789.0,2013
Oregon,Female,28667.0,109188.0,133900.0,138460.0,113672.0,48318.0,79814.0,17578.0,24058.0,41876.0,27459.0,10232.0,2013
Pennsylvania,Female,90254.0,307241.0,413526.0,421362.0,405586.0,172141.0,335958.0,76729.0,105332.0,200045.0,130732.0,50086.0,2013
Rhode Island,Female,6609.0,25725.0,36050.0,43912.0,41643.0,16184.0,27600.0,7104.0,7874.0,11552.0,7333.0,3115.0,2013
South Carolina,Female,30894.0,102116.0,148953.0,176949.0,159257.0,60157.0,133799.0,26106.0,25306.0,57852.0,32500.0,10579.0,2013
South Dakota,Female,15326.0,42912.0,40169.0,37174.0,22891.0,7963.0,12730.0,2435.0,2583.0,4661.0,3988.0,1289.0,2013
Tennessee,Female,32967.0,133927.0,190123.0,230069.0,216848.0,87772.0,177255.0,34493.0,36716.0,90672.0,45511.0,15152.0,2013
Texas,Female,152581.0,572016.0,782074.0,879751.0,781034.0,302390.0,699833.0,130850.0,171263.0,381253.0,225086.0,68960.0,2013
Utah,Female,23955.0,81201.0,98767.0,97551.0,84997.0,33114.0,58140.0,9699.0,11906.0,19577.0,10712.0,5612.0,2013
Vermont,Female,7495.0,22019.0,22819.0,23587.0,20967.0,8016.0,15254.0,4583.0,5227.0,8670.0,3655.0,1751.0,2013
Virginia,Female,40922.0,165737.0,245532.0,299828.0,273510.0,122597.0,245070.0,56775.0,68670.0,147136.0,101725.0,38082.0,2013
Washington,Female,45444.0,150856.0,196159.0,225534.0,218964.0,90023.0,176220.0,37495.0,52268.0,103744.0,66191.0,26899.0,2013
West Virginia,Female,16910.0,42436.0,54753.0,55846.0,49764.0,21673.0,30739.0,8813.0,10643.0,18516.0,13464.0,5748.0,2013
Wisconsin,Female,57724.0,185117.0,231841.0,225577.0,202846.0,84694.0,128362.0,33503.0,38532.0,67117.0,33875.0,17549.0,2013
Wyoming,Female,13298.0,35393.0,32302.0,18548.0,8967.0,2901.0,6791.0,1163.0,1237.0,2163.0,2299.0,833.0,2013
Puerto Rico,Female,7106.0,33482.0,52663.0,72783.0,70854.0,22999.0,77794.0,10368.0,23233.0,37297.0,45465.0,20011.0,2013
Alabama,Male,25980.0,84769.0,139647.0,172751.0,163061.0,72875.0,159426.0,28216.0,29591.0,80471.0,48302.0,24168.0,2014
Alaska,Male,16411.0,37875.0,37327.0,36948.0,24457.0,6648.0,13873.0,2035.0,2059.0,8317.0,6044.0,4768.0,2014
Arizona,Male,32401.0,132778.0,192928.0,216413.0,225001.0,104851.0,232175.0,42205.0,61922.0,114909.0,62598.0,28297.0,2014
Arkansas,Male,28336.0,86526.0,106298.0,106289.0,92824.0,36548.0,77570.0,14762.0,19524.0,35914.0,25610.0,16150.0,2014
California,Male,170288.0,646265.0,1072734.0,1318349.0,1276840.0,533657.0,1379161.0,240077.0,403163.0,804661.0,758746.0,362217.0,2014
Colorado,Male,40520.0,115767.0,184200.0,203403.0,201886.0,89708.0,205783.0,45987.0,55254.0,112742.0,80330.0,34057.0,2014
Connecticut,Male,26030.0,77347.0,125915.0,132587.0,138962.0,56433.0,108678.0,26361.0,32414.0,61909.0,58412.0,31204.0,2014
Delaware,Male,5176.0,17079.0,34585.0,34637.0,35367.0,13225.0,28389.0,5823.0,5138.0,13541.0,12275.0,6181.0,2014
District of Columbia,Male,2057.0,8182.0,11950.0,20173.0,24149.0,12501.0,33963.0,8420.0,9032.0,15563.0,8368.0,3012.0,2014
Florida,Male,85227.0,289163.0,497196.0,639693.0,700135.0,297387.0,735160.0,139929.0,177636.0,381145.0,251761.0,102982.0,2014
Georgia,Male,47640.0,160900.0,274187.0,324543.0,311732.0,134683.0,322174.0,72197.0,89220.0,221473.0,179002.0,70870.0,2014
Hawaii,Male,12251.0,28363.0,43358.0,48833.0,50211.0,18228.0,63047.0,10734.0,13650.0,32632.0,24179.0,9969.0,2014
Idaho,Male,20642.0,54499.0,59697.0,61022.0,51238.0,21428.0,42587.0,9117.0,7663.0,18706.0,13067.0,7157.0,2014
Illinois,Male,82748.0,263147.0,338788.0,371696.0,391689.0,179110.0,443542.0,95354.0,151781.0,341664.0,292055.0,96352.0,2014
Indiana,Male,55315.0,167355.0,227978.0,246532.0,219632.0,103498.0,198383.0,50355.0,57766.0,110357.0,73795.0,34069.0,2014
Iowa,Male,55420.0,135501.0,134001.0,134326.0,105397.0,44416.0,72449.0,17141.0,17724.0,32848.0,19897.0,12641.0,2014
Kansas,Male,43343.0,109130.0,122781.0,121909.0,105129.0,46415.0,75304.0,16461.0,15983.0,32785.0,17540.0,11269.0,2014
Kentucky,Male,39673.0,103272.0,133417.0,162063.0,145175.0,66520.0,126523.0,29019.0,30914.0,66360.0,44530.0,20755.0,2014
Louisiana,Male,32142.0,95180.0,137976.0,155576.0,155297.0,53961.0,148756.0,22258.0,27235.0,72971.0,61922.0,51510.0,2014
Maine,Male,15598.0,35080.0,43494.0,48716.0,42806.0,18714.0,36825.0,9254.0,11932.0,23266.0,15406.0,9074.0,2014
Maryland,Male,20605.0,76117.0,126944.0,163246.0,184905.0,88419.0,229568.0,62286.0,81231.0,179600.0,177690.0,64512.0,2014
Massachusetts,Male,37781.0,131499.0,184842.0,213757.0,210022.0,100299.0,231966.0,55574.0,79693.0,180858.0,165110.0,55068.0,2014
Michigan,Male,67224.0,220405.0,284850.0,340295.0,329349.0,150013.0,275745.0,75248.0,91524.0,179895.0,120062.0,51391.0,2014
Minnesota,Male,58890.0,154067.0,192536.0,210236.0,201534.0,103042.0,181062.0,45798.0,49639.0,101944.0,61656.0,28139.0,2014
Mississippi,Male,22903.0,67999.0,91891.0,97613.0,84775.0,34993.0,78851.0,15565.0,20479.0,39259.0,30695.0,22612.0,2014
Missouri,Male,53760.0,147774.0,189367.0,213439.0,213887.0,93520.0,183695.0,42066.0,49778.0,101736.0,54007.0,25508.0,2014
Montana,Male,17810.0,42867.0,49298.0,46596.0,29596.0,9331.0,18288.0,2621.0,3980.0,7886.0,6686.0,5766.0,2014
Nebraska,Male,32977.0,80652.0,90856.0,88247.0,74867.0,27159.0,46838.0,8089.0,9631.0,16282.0,10236.0,7035.0,2014
Nevada,Male,17365.0,50361.0,90722.0,111753.0,130116.0,55691.0,110056.0,14956.0,18202.0,31606.0,24408.0,18118.0,2014
New Hampshire,Male,14072.0,34096.0,39479.0,42913.0,42173.0,21229.0,39619.0,12503.0,15622.0,34262.0,26719.0,14308.0,2014
New Jersey,Male,43264.0,148449.0,228767.0,257444.0,274072.0,125862.0,285964.0,68970.0,107583.0,234214.0,267713.0,127543.0,2014
New Mexico,Male,17260.0,53545.0,81941.0,75677.0,64100.0,23806.0,54035.0,8413.0,10552.0,25405.0,17766.0,11042.0,2014
New York,Male,116512.0,319698.0,446684.0,514345.0,554320.0,239754.0,654303.0,137186.0,244070.0,512323.0,553433.0,268505.0,2014
North Carolina,Male,73792.0,212161.0,313642.0,364305.0,338617.0,146653.0,296801.0,67146.0,79142.0,167488.0,105152.0,50376.0,2014
North Dakota,Male,16354.0,42752.0,48042.0,34081.0,20247.0,5642.0,10132.0,1452.0,2341.0,6289.0,8445.0,5431.0,2014
Ohio,Male,91993.0,269658.0,367236.0,416412.0,429812.0,210697.0,355623.0,92044.0,99749.0,182963.0,103828.0,55840.0,2014
Oklahoma,Male,36640.0,113740.0,135984.0,154747.0,138012.0,58434.0,116754.0,19922.0,20565.0,48146.0,30917.0,20961.0,2014
Oregon,Male,35040.0,103187.0,132063.0,146716.0,129798.0,54356.0,111990.0,24046.0,32376.0,56478.0,41069.0,21200.0,2014
Pennsylvania,Male,97792.0,272896.0,378810.0,410216.0,411807.0,187707.0,385875.0,99796.0,129882.0,274526.0,198134.0,103983.0,2014
Rhode Island,Male,6385.0,25153.0,35817.0,38123.0,37734.0,18216.0,32202.0,7434.0,9136.0,18163.0,12634.0,7862.0,2014
South Carolina,Male,34581.0,98134.0,145446.0,171955.0,174974.0,72798.0,152876.0,31940.0,35479.0,78134.0,50511.0,23713.0,2014
South Dakota,Male,21331.0,44772.0,44867.0,38611.0,26576.0,8883.0,14930.0,2094.0,2994.0,6110.0,4695.0,2727.0,2014
Tennessee,Male,41301.0,127272.0,194928.0,223124.0,227651.0,100230.0,224433.0,44539.0,50550.0,117351.0,69064.0,30096.0,2014
Texas,Male,172314.0,562850.0,821097.0,989537.0,940995.0,367631.0,1015633.0,181383.0,243036.0,589926.0,431790.0,172461.0,2014
Utah,Male,26770.0,87190.0,110085.0,117248.0,118714.0,43964.0,87862.0,16658.0,21511.0,44654.0,31551.0,14439.0,2014
Vermont,Male,7484.0,20209.0,24485.0,23610.0,21213.0,11341.0,17009.0,3109.0,4834.0,9989.0,6662.0,2079.0,2014
Virginia,Male,43332.0,147450.0,240040.0,297360.0,295954.0,132388.0,290177.0,68683.0,90785.0,204449.0,166395.0,82422.0,2014
Washington,Male,45694.0,136112.0,203219.0,247530.0,244467.0,115259.0,245034.0,63094.0,75145.0,150111.0,123020.0,57380.0,2014
West Virginia,Male,16162.0,35937.0,48824.0,56787.0,51975.0,19591.0,44652.0,9961.0,11931.0,35007.0,29573.0,19358.0,2014
Wisconsin,Male,70485.0,185113.0,228093.0,221751.0,207836.0,97206.0,162386.0,40923.0,49988.0,87342.0,51609.0,29119.0,2014
Wyoming,Male,11267.0,32114.0,34750.0,25455.0,13633.0,4330.0,11091.0,1319.0,2353.0,6886.0,7863.0,5330.0,2014
Puerto Rico,Male,13720.0,37372.0,60967.0,78261.0,68363.0,29043.0,90994.0,12236.0,25554.0,45500.0,47803.0,21195.0,2014
Alabama,Female,24553.0,91932.0,142477.0,168644.0,153263.0,60374.0,135810.0,24111.0,23152.0,57957.0,26903.0,11760.0,2014
Alaska,Female,11737.0,28448.0,31108.0,27336.0,23370.0,4351.0,10421.0,1462.0,1665.0,3939.0,3425.0,1272.0,2014
Arizona,Female,40470.0,132831.0,171628.0,205034.0,187581.0,83796.0,170112.0,35873.0,48809.0,89815.0,43549.0,13963.0,2014
Arkansas,Female,24312.0,84329.0,103932.0,101287.0,85622.0,32087.0,56601.0,10841.0,12614.0,27552.0,17279.0,5492.0,2014
California,Female,155517.0,689097.0,1026648.0,1149108.0,1081236.0,442894.0,1071196.0,182714.0,290926.0,578355.0,499164.0,190938.0,2014
Colorado,Female,34283.0,133768.0,170938.0,181214.0,174605.0,76796.0,148842.0,37868.0,39061.0,76621.0,46778.0,16436.0,2014
Connecticut,Female,23045.0,86617.0,130652.0,136060.0,127472.0,55208.0,100859.0,20699.0,27254.0,46978.0,34227.0,18503.0,2014
Delaware,Female,4776.0,19586.0,32454.0,37226.0,33606.0,12919.0,26547.0,5689.0,5220.0,13974.0,8545.0,3521.0,2014
District of Columbia,Female,1987.0,7070.0,11929.0,19281.0,28227.0,13130.0,34514.0,9054.0,10012.0,19264.0,10905.0,3307.0,2014
Florida,Female,72072.0,318228.0,509566.0,635025.0,651308.0,256898.0,611856.0,121471.0,153802.0,307755.0,172354.0,62613.0,2014
Georgia,Female,43314.0,173950.0,285559.0,330220.0,295007.0,123657.0,262094.0,58669.0,72154.0,186374.0,119109.0,43120.0,2014
Hawaii,Female,7381.0,25547.0,40512.0,38532.0,40014.0,14013.0,49176.0,6615.0,11786.0,31093.0,24804.0,10014.0,2014
Idaho,Female,19059.0,50477.0,54962.0,53841.0,45574.0,16310.0,30165.0,6187.0,6259.0,11022.0,6786.0,2581.0,2014
Illinois,Female,76968.0,276619.0,363708.0,378360.0,357487.0,160475.0,361278.0,90501.0,125115.0,259508.0,210768.0,70015.0,2014
Indiana,Female,48805.0,186433.0,229834.0,242054.0,207106.0,93014.0,155274.0,36816.0,48175.0,78856.0,40364.0,17657.0,2014
Iowa,Female,47402.0,139738.0,130958.0,126107.0,96335.0,39377.0,58814.0,13748.0,15120.0,25425.0,10319.0,5783.0,2014
Kansas,Female,40125.0,103745.0,118211.0,110469.0,94081.0,37268.0,54637.0,10318.0,12945.0,19995.0,8254.0,4538.0,2014
Kentucky,Female,31466.0,109064.0,143627.0,153636.0,133793.0,53839.0,99615.0,20499.0,26017.0,44931.0,22640.0,11493.0,2014
Louisiana,Female,32620.0,114234.0,156620.0,156906.0,146608.0,50661.0,124662.0,22240.0,21839.0,50679.0,30058.0,12837.0,2014
Maine,Female,13859.0,40406.0,48291.0,49053.0,44365.0,19051.0,28554.0,9199.0,8686.0,19334.0,9345.0,3646.0,2014
Maryland,Female,23756.0,90785.0,149038.0,183113.0,188022.0,85352.0,199132.0,50613.0,72707.0,154704.0,132874.0,52056.0,2014
Massachusetts,Female,39919.0,148076.0,212120.0,227934.0,213584.0,91115.0,215693.0,47885.0,72855.0,154595.0,120454.0,41910.0,2014
Michigan,Female,68887.0,241867.0,320947.0,333843.0,318084.0,142240.0,232261.0,59287.0,71044.0,128345.0,67245.0,26803.0,2014
